scale,name,serie,serie_name
r,r_transflownighttc2,r_transflownight,
r,r_transflownighttc3,r_transflownight,
r,r_transflownighttc4,r_transflownight,
r,r_transflownighttc5,r_transflownight,
r,r_transflownighttc6,r_transflownight,
r,r_transflownighttc7,r_transflownight,
r,r_transflownormaltc1,r_transflownormal,
r,r_transflownormaltc2,r_transflownormal,
r,r_transflownormaltc3,r_transflownormal,
r,r_transflownormaltc4,r_transflownormal,
r,r_transflownormaltc5,r_transflownormal,
r,r_transflownormaltc6,r_transflownormal,
r,r_transflownormaltc7,r_transflownormal,
r,r_vehicleequivavg,r_vehicleequiv,
r,r_vehicleequivmorning,r_vehicleequiv,
r,r_vehicleequivnight,r_vehicleequiv,
r,r_vehicleequivnormal,r_vehicleequiv,
r,r_transflowavg,r_transflow,
r,r_transflownight,r_transflow,
r,r_transflowmorning,r_transflow,
r,r_transflownormal,r_transflow,
